_filename	Rainy
_filename	Rainy
abr	256
acodec	mp4a.40.2
age_limit	0
album	null
alt_title	null
annotations	null
artist	null
automatic_captions	{}
average_rating	4.8816566
categories	null
channel_id	UCJhjE7wbdYAae1G25m0tHAA
channel_url	http://www.youtube.com/channel/UCJhjE7wbdYAae1G25m0tHAA
chapters	null
creator	null
description	Please
dislike_count	null
display_id	DSGyEsJ17cI
duration	0
end_time	null
episode_number	null
ext	mp4
extractor	youtube
extractor_key	Youtube
format	95
format_id	95
format_note	HLS
fps	30
fulltitle	Rainy
height	720
id	DSGyEsJ17cI
is_live	true
license	null
like_count	null
manifest_url	https://manifest.googlevideo.com/api/manifest/hls_variant/expire/1596666160/ei/0NwqX-yGNcjkqQHd7bOwBg/ip/XXX.XXX.XXX.XXX/id/DSGyEsJ17cI.452/source/yt_live_broadcast/requiressl/yes/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/vprv/1/go/1/keepalive/yes/fexp/23883098/dover/11/itag/0/playlist_type/DVR/sparams/expire%2Cei%2Cip%2Cid%2Csource%2Crequiressl%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cvprv%2Cgo%2Citag%2Cplaylist_type/sig/AOq0QJ8wRQIhAIC0_Vic6lmZrSn05u1R6HEIHJxvgVCStvTe_oYNYW8ZAiAPcp4m9HLbkXpMEYo0sO2c6OnaGM0KY0BFHNd3PLoLHQ%3D%3D/file/index.m3u8?disable_polymer=true
player_url	null
playlist	null
playlist_index	null
preference	null
protocol	m3u8
release_date	null
release_year	null
requested_subtitles	null
season_number	null
series	null
start_time	null
subtitles	{}
tbr	2593.5
thumbnail	https://i.ytimg.com/vi/DSGyEsJ17cI/maxresdefault_live.jpg
title	Rainy
track	null
upload_date	20190115
uploader	Cafe
uploader_id	cafemusicbgmchannel
uploader_url	http://www.youtube.com/user/cafemusicbgmchannel
url	https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1596666160/ei/0NwqX-yGNcjkqQHd7bOwBg/ip/XXX.XXX.XXX.XXX/id/DSGyEsJ17cI.452/itag/95/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/goi/160/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D136/hls_chunk_host/r4---sn-ouu2j-ioqz.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/initcwndbps/4870/mh/h_/mm/44/mn/sn-ouu2j-ioqz/ms/lva/mv/m/mvi/4/pl/22/dover/11/keepalive/yes/fexp/23883098/mt/1596644179/disable_polymer/true/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,goi,sgoap,sgovp,playlist_duration,manifest_duration,vprv,playlist_type/sig/AOq0QJ8wRQIhAIENAoTge7a67MJSYN_0CjN7R1hG_EQb5iXtVnDjlMcRAiBz69B4HZm9YyS-DjQxrafQqzPPhz9u23VOzTTTXD0uWA%3D%3D/lsparams/hls_chunk_host,initcwndbps,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhALEQkjGDwiY6oiQAMfvrKSDT7xzqE0RZWlyar7uJBY52AiEA-NFZWk4vAF45v15zmU1eobLHk0bImJ9QJwK0UgbGHT0%3D/playlist/index.m3u8
vcodec	avc1.4d401f
view_count	22813749
webpage_url	https://www.youtube.com/watch?v=DSGyEsJ17cI
webpage_url_basename	watch
width	1280
